precision,recall,f1,jaccard,algorithm,image
0.04610331808833911,0.3331854480922804,0.08099873270957478,0.04220879584094422,sobel,206062
0.04725548036323674,0.18123336291038156,0.07496444464834612,0.03894184938036225,canny,206062
0.029897337817934005,0.5539714867617108,0.05673285499749707,0.029194573244032285,roberts,20069
0.03032240387249977,0.5409368635437882,0.05742578538842403,0.02956169445495626,sobel,20069
0.03383774695250105,0.26232179226069247,0.05994322148275702,0.030897663484143356,canny,20069
0.0697687728937729,0.2495904995904996,0.10905349794238683,0.05767138193688792,roberts,230063
0.06998494947323157,0.2665847665847666,0.11086512261580382,0.05868565762192374,sobel,230063
0.0631731565865783,0.1248976248976249,0.08390646492434663,0.04379038047379756,canny,230063
0.011558033780857515,0.24042792792792791,0.022055785123966942,0.011150863082025435,roberts,118031
0.011419545289761251,0.2483108108108108,0.02183492597910581,0.011037969614296799,sobel,118031
0.010186098970816298,0.16272522522522523,0.019172084383707048,0.009678823805217857,canny,118031
0.0383426661952716,0.66772591857001,0.07252097758795487,0.03762478177178925,roberts,159045
0.03938922061772515,0.6983118172790467,0.07457210121105431,0.03873014474234981,sobel,159045
0.04236405474143151,0.3473684210526316,0.07551813471502591,0.03924076193040318,canny,159045
0.020031018181138702,0.5819761129207384,0.03872902328438014,0.01974690073129847,roberts,16068
0.020878183516795972,0.5580890336590663,0.04025058731401723,0.020538639814592825,sobel,16068
0.02287648054145516,0.36699239956568946,0.04306829765545362,0.02200807396796458,canny,16068
0.0216381544841887,0.6196555819477435,0.04181610531166723,0.021354534385200193,roberts,202012
0.02161897432309522,0.6422209026128266,0.041829837844109874,0.021361697084617208,sobel,202012
0.021861604409063075,0.31799287410926363,0.04091065357729478,0.02088248484021292,canny,202012
0.01906121039140473,0.7350157728706624,0.03715877980277672,0.01893111853389907,roberts,198023
0.018530716960199693,0.7493866105853487,0.03616709944260714,0.018416586987794057,sobel,198023
0.024305729925174508,0.339291973361374,0.04536188757937158,0.023207307424899907,canny,198023
0.0195926069822945,0.27545844713226686,0.03658315413115009,0.018632392916523712,roberts,182053
0.019965277777777776,0.2871634802965275,0.03733482131534227,0.01902251169522628,sobel,182053
0.026691612098534455,0.16699180647678502,0.04602645445746854,0.023555310952118876,canny,182053
0.027273022787114392,0.30620437956204377,0.050085067008924566,0.02568577026696057,roberts,14092
0.02667256581234396,0.30802919708029197,0.049094029025972145,0.025164733593726705,sobel,14092
0.025719292295517494,0.16605839416058393,0.04454015956145073,0.022777332799359232,canny,14092
0.024708377518557794,0.2742467043314501,0.04533250321024164,0.023191925626580137,roberts,22093
0.02686331860518182,0.30484934086629,0.049375655323610705,0.025312744331508992,sobel,22093
0.024070365571131267,0.14430320150659134,0.041258623590779066,0.02106384440931895,canny,22093
0.010719754977029096,0.1989247311827957,0.020343243137100894,0.010276146643389938,roberts,103029
0.010598439214225092,0.1966205837173579,0.020112741343075443,0.010158528600623003,sobel,103029
0.013865052840755126,0.11789554531490015,0.02481209084296452,0.012561888784320144,canny,103029
0.04341805148256761,0.1468724166437035,0.06702294875825211,0.03467343221441582,roberts,104022
0.043910862593536715,0.14714797464866355,0.06763774540848638,0.035002621919244886,sobel,104022
0.03929075156155551,0.1074676219344172,0.05754334194024345,0.029624003038359287,canny,104022
0.050001989732977835,0.8236643723369387,0.09428051548519012,0.04947239940152768,roberts,238011
0.05128306668778711,0.8489019993444772,0.09672299505181589,0.05081918963994898,sobel,238011
0.07210986267166042,0.47328744673877415,0.12515167273357602,0.06675295857988166,canny,238011
0.014247789765946565,0.3082191780821918,0.027236538864445842,0.013806287170773151,roberts,163085
0.015489999522650245,0.34193888303477343,0.029637409809114987,0.015041601965374187,sobel,163085
0.01579523080288777,0.19020021074815596,0.029168181634549345,0.01479993440472286,canny,163085
0.01341637814240554,0.3248291571753986,0.025768445400169863,0.013052392633544466,roberts,25098
0.013420245398773007,0.3348519362186788,0.02580622509348173,0.013071779184747813,sobel,25098
0.0161651728553137,0.18405466970387244,0.02972008680619414,0.015084195198446776,canny,25098
0.05451115303517923,0.49021956087824353,0.09811245381004693,0.0515868848326997,roberts,8049
0.05542951878190306,0.5071856287425149,0.09993707228820893,0.052596717103765185,sobel,8049
0.044974825716498835,0.18542914171656685,0.07239149068806981,0.03755507943566318,canny,8049
0.0180504379991111,0.2765209751811992,0.03388872439503647,0.017236422381337022,roberts,41085
